Sno,Laser dist,Tape dist
0,30,30
1,32,32
2,34,34
3,36,36
4,38,38
5,40,40
6,,42
7,,100
8,,102
9,,104
10,,106
11,,108
12,,110
13,,112
14,,150
15,,152
16,,154
17,,156
18,,158
19,,160
20,,162
