,Frequency, Formatted Data, Formatted Data.1
0,700000000.0,-1.91159148493,97.5091476573
1,701507537.688,-1.96311456515,97.1996865017
2,703015075.377,-1.93026878814,97.1597658063
3,704522613.065,-1.91927988616,96.6630303349
4,706030150.754,-1.95283699243,96.4318851523
5,707537688.442,-1.9379583519,95.9861317944
6,709045226.131,-1.95107516498,95.8671048895
7,710552763.819,-1.931810366,95.9085964949
8,712060301.508,-1.99551103906,95.443825492
9,713567839.196,-1.95059209045,95.4444714256
10,715075376.884,-1.97775691541,94.8232796598
11,716582914.573,-1.92420784082,94.9313482647
12,718090452.261,-1.98813417336,94.594077952
13,719597989.95,-1.9512763903,94.2575722231
14,721105527.638,-1.98725788479,94.0983211571
15,722613065.327,-1.96002788546,94.2236289985
16,724120603.015,-1.96972105965,93.8436174076
17,725628140.704,-1.96143093607,93.3365410374
18,727135678.392,-2.00499470171,93.4130502243
19,728643216.08,-2.01884569689,92.8142111861
20,730150753.769,-1.95006608015,92.896204905
21,731658291.457,-1.95919173315,92.3975294198
22,733165829.146,-2.00074968113,92.3551800455
23,734673366.834,-2.00639300641,91.8638202179
24,736180904.523,-2.00216720411,91.6690978005
25,737688442.211,-2.03401375716,91.5479468064
26,739195979.899,-2.00002928227,91.0986178055
27,740703517.588,-2.01973043152,91.0434533022
28,742211055.276,-2.00205557605,90.9278118749
29,743718592.965,-2.01724018272,90.5375641729
30,745226130.653,-2.04234869965,90.4777816739
31,746733668.342,-2.02744475289,90.1809635566
32,748241206.03,-2.04611182228,89.8827523428
33,749748743.719,-2.0620550879,89.6414175867
34,751256281.407,-2.02381555804,89.2077404435
35,752763819.095,-2.00056247782,88.8671135437
36,754271356.784,-2.04013199618,88.7944147184
37,755778894.472,-2.05606527217,88.6132440463
38,757286432.161,-2.07879535533,88.3517460288
39,758793969.849,-2.0326625617,88.1868414699
40,760301507.538,-2.05517282917,87.7799204091
41,761809045.226,-2.0083432942,87.7821812532
42,763316582.915,-2.04646339522,87.6513892169
43,764824120.603,-2.06712033246,87.2928795116
44,766331658.291,-2.05367391476,86.9588306975
45,767839195.98,-2.05580926484,86.4549162941
46,769346733.668,-2.0870021725,86.2762337788
47,770854271.357,-2.04419343064,86.2848093213
48,772361809.045,-2.09847475004,85.8669708533
49,773869346.734,-2.06273625373,85.8371639217
50,775376884.422,-2.05760058516,85.2829710825
51,776884422.111,-2.0452832736,85.1443429893
52,778391959.799,-2.0380463125,85.060521815
53,779899497.487,-2.07573812748,84.7755269187
54,781407035.176,-2.0839209431,84.6877463475
55,782914572.864,-2.0578282518,84.220950842
56,784422110.553,-2.0134680186,83.9635882595
57,785929648.241,-2.10063007695,83.7265856847
58,787437185.93,-2.08410231486,83.6876348672
59,788944723.618,-2.09766887943,83.2739278608
60,790452261.307,-2.10202561752,83.0666891695
61,791959798.995,-2.10883448645,82.9619872703
62,793467336.683,-2.05811915229,82.5091214562
63,794974874.372,-2.12433173334,82.4099281369
64,796482412.06,-2.12777297684,82.0040177631
65,797989949.749,-2.13898837955,81.7791040168
66,799497487.437,-2.09518386121,81.7183976311
67,801005025.126,-2.11085313233,81.1202643391
68,802512562.814,-2.09161140743,81.0398938534
69,804020100.503,-2.12429694649,81.0749557542
70,805527638.191,-2.1406803183,80.6572733915
71,807035175.879,-2.12421345405,80.1280214889
72,808542713.568,-2.12918548135,80.0372556937
73,810050251.256,-2.18370160232,79.6481640764
74,811557788.945,-2.15217247035,79.4325335932
75,813065326.633,-2.15725282178,79.1114954136
76,814572864.322,-2.17462294867,78.9989431295
77,816080402.01,-2.16929740544,78.5414320277
78,817587939.698,-2.11623035504,78.3712178209
79,819095477.387,-2.13211734994,78.4544916854
80,820603015.075,-2.14887316681,78.0030323282
81,822110552.764,-2.18221354279,77.4000928685
82,823618090.452,-2.09142111976,77.4154126041
83,825125628.141,-2.16566836314,77.0088749604
84,826633165.829,-2.13357413611,77.0936276129
85,828140703.518,-2.14469798617,76.8143181062
86,829648241.206,-2.18577809517,76.6462468356
87,831155778.894,-2.15671670286,75.9026206077
88,832663316.583,-2.17532093209,75.8099832719
89,834170854.271,-2.15106642824,75.5647766989
90,835678391.96,-2.2133280738,75.6505097835
91,837185929.648,-2.18847159989,74.9436048466
92,838693467.337,-2.1560646421,74.7756761006
93,840201005.025,-2.19752207503,74.4249486127
94,841708542.714,-2.17413203315,74.2993080131
95,843216080.402,-2.19569775061,73.7658060378
96,844723618.09,-2.2139793028,73.6427472699
97,846231155.779,-2.20818542088,73.5941041723
98,847738693.467,-2.18528717125,73.2343709131
99,849246231.156,-2.17647258188,73.0765589129
100,850753768.844,-2.20538043116,72.7574174889
101,852261306.533,-2.2209679434,72.6109089578
102,853768844.221,-2.18312662689,72.459570659
103,855276381.91,-2.2380964238,71.9707174326
104,856783919.598,-2.21027585256,71.6216323326
105,858291457.286,-2.2261043357,71.2264368396
106,859798994.975,-2.18850316305,71.3403386951
107,861306532.663,-2.2166032478,70.7646434162
108,862814070.352,-2.20696296016,70.8335181015
109,864321608.04,-2.26572761698,70.3176878461
110,865829145.729,-2.23731657184,70.1022208795
111,867336683.417,-2.21010387297,69.7265223257
112,868844221.106,-2.25402733303,69.5772156375
113,870351758.794,-2.22136573679,69.160999875
114,871859296.482,-2.24814206107,69.1009696575
115,873366834.171,-2.24175700572,68.9152489099
116,874874371.859,-2.23205404804,68.5753096894
117,876381909.548,-2.25946051782,68.1334756152
118,877889447.236,-2.20920094469,67.8768862977
119,879396984.925,-2.28412489525,67.7180261783
120,880904522.613,-2.3078668909,67.3283488635
121,882412060.302,-2.2425352402,67.0770446193
122,883919597.99,-2.22633561142,66.7686832904
123,885427135.678,-2.26340370256,66.5518358907
124,886934673.367,-2.27372121089,66.4142618046
125,888442211.055,-2.302088654,65.820835783
126,889949748.744,-2.25601618112,65.7226662109
127,891457286.432,-2.28445054758,65.5295703079
128,892964824.121,-2.2476947936,65.383486544
129,894472361.809,-2.25666630268,65.0429345905
130,895979899.497,-2.28503306015,64.8504479691
131,897487437.186,-2.29526155291,64.3236062134
132,898994974.874,-2.3088749348,64.030606528
133,900502512.563,-2.30196074666,64.0239786493
134,902010050.251,-2.2783274572,63.5566267209
135,903517587.94,-2.26806223381,63.1513648911
136,905025125.628,-2.27843478967,63.1178233415
137,906532663.317,-2.31334816946,62.7382688409
138,908040201.005,-2.33213292117,62.36302751
139,909547738.693,-2.34376535133,62.1816956436
140,911055276.382,-2.28375110427,61.840670577
141,912562814.07,-2.32120744647,61.6384409191
142,914070351.759,-2.35968939459,61.3101034188
143,915577889.447,-2.31872358444,61.0794033378
144,917085427.136,-2.32076865408,60.8597543794
145,918592964.824,-2.33670369406,60.6186473437
146,920100502.513,-2.34195734529,60.2831160862
147,921608040.201,-2.31971492855,59.9876731113
148,923115577.889,-2.37622548741,59.5041699898
149,924623115.578,-2.35684303923,59.2792297227
150,926130653.266,-2.33119567846,59.0813318307
151,927638190.955,-2.37197663289,58.9177980528
152,929145728.643,-2.34096777896,58.6375712355
153,930653266.332,-2.33893974172,58.4345392622
154,932160804.02,-2.33396491409,58.1217046535
155,933668341.709,-2.36965038295,57.8041647281
156,935175879.397,-2.37874138247,57.5234574724
157,936683417.085,-2.35576061539,57.3008622718
158,938190954.774,-2.37934157691,57.0052057805
159,939698492.462,-2.39758691652,56.6439446122
160,941206030.151,-2.37123544877,56.4733952979
161,942713567.839,-2.35261375003,56.0933574935
162,944221105.528,-2.39425826382,55.8337970085
163,945728643.216,-2.37254459495,55.3424491219
164,947236180.905,-2.37614650452,55.2456451024
165,948743718.593,-2.41167425857,54.9758753386
166,950251256.281,-2.44403531976,54.6918241612
167,951758793.97,-2.39059526096,54.1809929762
168,953266331.658,-2.38223288757,53.9760807354
169,954773869.347,-2.38310110812,53.9091111463
170,956281407.035,-2.42225716534,53.185224895
171,957788944.724,-2.35970783874,53.3686352011
172,959296482.412,-2.38491263152,52.9761560716
173,960804020.101,-2.41994838051,52.6932122597
174,962311557.789,-2.40770036694,52.3429170116
175,963819095.477,-2.4180478062,51.8336524358
176,965326633.166,-2.39792038175,51.6511417584
177,966834170.854,-2.42763945734,51.6236475539
178,968341708.543,-2.42528243119,51.0955383315
179,969849246.231,-2.39517961118,50.8857612184
180,971356783.92,-2.37937289655,50.6337578214
181,972864321.608,-2.44258418872,50.3537230837
182,974371859.296,-2.38391407317,50.0602118646
183,975879396.985,-2.41794626904,49.5538235388
184,977386934.673,-2.4355000526,49.5028392673
185,978894472.362,-2.45970593057,49.2420795043
186,980402010.05,-2.43572917956,48.9501399198
187,981909547.739,-2.41882476828,48.6321355502
188,983417085.427,-2.4529376133,48.3898313931
189,984924623.116,-2.44815209003,48.1376404315
190,986432160.804,-2.45802433461,47.7304720427
191,987939698.492,-2.42812000891,47.6583897941
192,989447236.181,-2.46080741768,47.0969726981
193,990954773.869,-2.43126445923,46.9309962732
194,992462311.558,-2.45708927382,46.7467957726
195,993969849.246,-2.41998339633,46.2087462575
196,995477386.935,-2.45245923535,45.9375432848
197,996984924.623,-2.42681105947,45.6094500019
198,998492462.312,-2.50172831834,45.3633829722
199,1000000000.0,-2.46973076771,44.9800702065
