,Frequency, Formatted Data, Formatted Data.1
0,700000000.0,-1.78689889292,127.24184768
1,701507537.688,-1.82778637759,126.93118875
2,703015075.377,-1.78926778685,126.953397433
3,704522613.065,-1.76512385364,126.528175445
4,706030150.754,-1.81967991577,126.390171062
5,707537688.442,-1.79865683237,125.995144912
6,709045226.131,-1.81170607337,126.01598153
7,710552763.819,-1.77154042812,126.218152933
8,712060301.508,-1.83849953565,125.726832673
9,713567839.196,-1.8086142827,125.710775227
10,715075376.884,-1.85010502777,125.18169777
11,716582914.573,-1.77773210116,125.341332851
12,718090452.261,-1.84171442661,125.027665105
13,719597989.95,-1.81581322956,124.900043027
14,721105527.638,-1.84097247223,124.854600668
15,722613065.327,-1.81836872772,124.934093089
16,724120603.015,-1.80966332731,124.66560505
17,725628140.704,-1.79792763268,124.267415189
18,727135678.392,-1.85445976361,124.306025512
19,728643216.08,-1.85135153394,123.793717205
20,730150753.769,-1.80304061526,123.989690939
21,731658291.457,-1.80707332453,123.546489027
22,733165829.146,-1.84506856198,123.594358763
23,734673366.834,-1.86834912916,123.121976879
24,736180904.523,-1.83793734574,123.014742347
25,737688442.211,-1.88992579885,122.986968615
26,739195979.899,-1.8044626426,122.684849759
27,740703517.588,-1.85359929267,122.597306001
28,742211055.276,-1.85267711824,122.681477319
29,743718592.965,-1.84767294485,122.202527897
30,745226130.653,-1.86798858018,122.49467659
31,746733668.342,-1.86751532817,122.014156434
32,748241206.03,-1.88752411206,121.818440837
33,749748743.719,-1.90371057601,121.644678311
34,751256281.407,-1.83453256227,121.266211115
35,752763819.095,-1.82772290993,121.167477438
36,754271356.784,-1.88228229592,121.170097557
37,755778894.472,-1.92324824235,121.050164308
38,757286432.161,-1.90629291542,120.679929487
39,758793969.849,-1.87142574344,120.658219172
40,760301507.538,-1.90174207208,120.252628005
41,761809045.226,-1.84582577381,120.580357307
42,763316582.915,-1.87431903485,120.391302599
43,764824120.603,-1.89582351284,120.173280932
44,766331658.291,-1.88177718592,119.791519453
45,767839195.98,-1.87987673496,119.478757109
46,769346733.668,-1.93232159269,119.187424773
47,770854271.357,-1.87504931005,119.343174626
48,772361809.045,-1.92749787096,118.817041978
49,773869346.734,-1.90102144566,119.050235953
50,775376884.422,-1.84972864463,118.689466861
