,Frequency, Formatted Data, Formatted Data.1
0,700000000.0,-1.92975342046,96.7019970242
1,701507537.688,-1.99011312667,96.3732544408
2,703015075.377,-1.95294808094,96.3289789768
3,704522613.065,-1.94258635992,95.8328143077
4,706030150.754,-1.97241927411,95.6210049733
5,707537688.442,-1.96958875749,95.19315811
6,709045226.131,-1.9841794968,95.0622318949
7,710552763.819,-1.96176342925,95.0021791358
8,712060301.508,-2.01525544637,94.6120150227
9,713567839.196,-1.99046941835,94.6452944314
10,715075376.884,-2.01139843456,94.0509684932
11,716582914.573,-1.95240881116,94.0803517505
12,718090452.261,-2.01132697929,93.7236439053
13,719597989.95,-1.9764593396,93.3953015882
14,721105527.638,-2.01295619686,93.260999438
15,722613065.327,-1.98729281103,93.3160836038
16,724120603.015,-1.98175481533,92.9612397339
17,725628140.704,-1.98003560248,92.5433861065
18,727135678.392,-2.02695435096,92.4683902759
19,728643216.08,-2.04223036355,91.8701639998
20,730150753.769,-1.96649937288,91.9908197523
21,731658291.457,-1.98666438551,91.4919661896
22,733165829.146,-2.04289400805,91.4420554567
23,734673366.834,-2.04733893741,90.9611493176
24,736180904.523,-2.03506900731,90.7520032595
25,737688442.211,-2.0652758406,90.6468559635
26,739195979.899,-2.01602722917,90.1699913314
27,740703517.588,-2.03519241645,90.0807576466
28,742211055.276,-2.04032446428,89.9604508932
29,743718592.965,-2.04067626896,89.5820649934
30,745226130.653,-2.07181160933,89.5451401468
31,746733668.342,-2.06110509974,89.2238306787
32,748241206.03,-2.07209420924,88.9849946131
33,749748743.719,-2.09353471977,88.6485978853
34,751256281.407,-2.04970240727,88.2447924121
35,752763819.095,-2.03890075177,87.902023233
36,754271356.784,-2.07255081649,87.7728964184
37,755778894.472,-2.08005708471,87.6517510409
38,757286432.161,-2.10450423826,87.4431570357
39,758793969.849,-2.0684722006,87.1479112693
40,760301507.538,-2.08756249755,86.7498233962
41,761809045.226,-2.04376401763,86.8341606191
42,763316582.915,-2.07673110279,86.643628586
43,764824120.603,-2.09389832653,86.3474399724
44,766331658.291,-2.09069590937,85.9655869444
45,767839195.98,-2.08883689655,85.5053322597
46,769346733.668,-2.12674714132,85.3194935934
47,770854271.357,-2.07514307969,85.2078259191
48,772361809.045,-2.12765410942,84.7265036608
49,773869346.734,-2.08681212632,84.7898900501
50,775376884.422,-2.07991286812,84.226622966
51,776884422.111,-2.07245922723,84.0472630904
52,778391959.799,-2.06622386672,83.9952277679
53,779899497.487,-2.09973281695,83.6799126973
54,781407035.176,-2.11757121885,83.5571910696
55,782914572.864,-2.08069357963,83.1108806785
56,784422110.553,-2.04326152488,82.8711026083
57,785929648.241,-2.11841784611,82.6467856191
58,787437185.93,-2.11276308606,82.5733161853
59,788944723.618,-2.13426553134,82.2109206859
60,790452261.307,-2.12942576312,81.8569189664
61,791959798.995,-2.13978714843,81.8889609552
62,793467336.683,-2.08717980143,81.4241989198
63,794974874.372,-2.15658766269,81.3301810181
64,796482412.06,-2.15683782435,80.8933782985
65,797989949.749,-2.1648092038,80.6380518285
66,799497487.437,-2.12924399001,80.6090478411
67,801005025.126,-2.13358973872,80.0272172873
68,802512562.814,-2.11910128564,79.8800027376
69,804020100.503,-2.1564067896,80.0216011518
70,805527638.191,-2.16130584117,79.4740502491
71,807035175.879,-2.15129293321,78.964552546
72,808542713.568,-2.16247693679,78.9266218154
73,810050251.256,-2.20731619494,78.5052397177
74,811557788.945,-2.18083458266,78.2573486785
75,813065326.633,-2.18679634389,77.9181081448
76,814572864.322,-2.21054076955,77.7637898827
77,816080402.01,-2.19584277142,77.3184840348
78,817587939.698,-2.15843801434,77.2313361887
79,819095477.387,-2.1792992128,77.3031856329
80,820603015.075,-2.17332407943,76.8187296117
81,822110552.764,-2.20771130576,76.1862307454
82,823618090.452,-2.11138072856,76.170428705
83,825125628.141,-2.19563556174,75.7718601287
84,826633165.829,-2.17628213827,75.8643855861
85,828140703.518,-2.17021429751,75.5971062515
86,829648241.206,-2.21366918159,75.4151153297
87,831155778.894,-2.19524906307,74.645317429
88,832663316.583,-2.19908663866,74.5432368111
89,834170854.271,-2.18255722327,74.2733098038
90,835678391.96,-2.24359863016,74.45670792
91,837185929.648,-2.21803255618,73.6499453632
92,838693467.337,-2.19285491091,73.53668427
93,840201005.025,-2.22895015815,73.0849092325
94,841708542.714,-2.21003371832,72.9983882076
95,843216080.402,-2.22410225076,72.5267430443
96,844723618.09,-2.24007178754,72.3767939836
97,846231155.779,-2.2470975439,72.3680648475
98,847738693.467,-2.22501168772,71.9666969699
99,849246231.156,-2.20978667662,71.7719268485
100,850753768.844,-2.2273517614,71.46456972
101,852261306.533,-2.25333443547,71.2880717548
102,853768844.221,-2.21827515165,71.190366121
103,855276381.91,-2.27335972786,70.5694449901
104,856783919.598,-2.238967682,70.2951036407
105,858291457.286,-2.26098539791,69.8460559477
106,859798994.975,-2.23082974967,69.9726382956
107,861306532.663,-2.25142031072,69.4299854086
108,862814070.352,-2.24444218886,69.4057306333
109,864321608.04,-2.29560072289,68.9487319174
110,865829145.729,-2.27255739601,68.7180319271
111,867336683.417,-2.24631175518,68.2922677919
112,868844221.106,-2.28682455473,68.2051343688
113,870351758.794,-2.25646392407,67.7520253332
114,871859296.482,-2.27408367196,67.7441616659
115,873366834.171,-2.27277623513,67.5239942018
116,874874371.859,-2.2623276926,67.1787342233
117,876381909.548,-2.28291852059,66.6825889473
118,877889447.236,-2.2387881697,66.5057080402
119,879396984.925,-2.32027889878,66.2502447346
120,880904522.613,-2.342615857,65.8616606874
121,882412060.302,-2.29605389389,65.6252651085
